PropertyAddressFull,AreaLotSF
500 ACACIA RD,23992.0
404 OJAI RD,14322.0
309 N 12TH ST,7125.0
746 OJAI RD,22416.0
270 QUAIL CT,93218.0
321 N 8TH ST,11667.0
211 E SANTA PAULA ST,7000.0
811 E SANTA PAULA ST,14600.0
426 S OLIVE ST,3100.0
711 E PLEASANT ST,18000.0
525 ACACIA RD,22750.0
304 N PALM AVE,11137.0
308 N PALM AVE,11149.0
1207 RICHMOND RD,6800.0
1014 E VIRGINIA TER,5625.0
539 OJAI RD,9052.0
611 N OAK ST,8400.0
551 N MILL ST,5100.0
503 SYCAMORE ST,7800.0
509 ACACIA RD,11000.0
975 W TELEGRAPH RD,20552.0
409 N 12TH ST,7800.0
428 OJAI RD,7574.0
418 OJAI RD,10357.0
408 OJAI RD,9747.0
17962 E TELEGRAPH RD,39776.0
1500 RICHMOND RD,544500.0
430 S OLIVE ST,8000.0
1014 E VIRGINIA TER,8400.0
444 SYCAMORE ST,4500.0
500 W SANTA MARIA ST,759686.0
110 S CALAVO ST,58308.0
120 S CALAVO ST,65713.0
1319 HIGH ST,14715.0
522 N ARNAZ ST,7428.0
385 N LA LUNA AVE,14568.0
627 TICO RD,18121.0
1427 TRUSTY LN,50094.0
420 N ALVARADO ST,5500.0
229 N ARNAZ ST,17100.0
322 S PADRE JUAN AVE,6875.0
975 LOMA DR,7360.0
425 S LOMITA AVE,8892.0
246 EL CONEJO DR,6250.0
753 TICO RD,22303.0
1273 S RICE RD SPC 90,103237.0
896 TICO RD,21938.0
8791 NYE RD,16180.0
8988 NYE RD,9982.0
1225 S RICE RD SPC 27,103237.0
173 S LOMITA AVE,8050.0
555 AVENIDA DEL RECREO,23400.0
8747 NYE RD,8520.0
474 N ARNAZ ST,35000.0
215 N ARNAZ ST,9900.0
953 DEVEREUX DR,7475.0
421 W EL ROBLAR DR,9625.0
377 S LA LUNA AVE,26368.0
401 WALL ST,231379.0
1555 BALDWIN RD,2198037.0
2165 MARICOPA HWY,7250.0
1225 S RICE RD SPC 53,103237.0
888 N RICE RD,85377.0
1040 TICO RD # 1058,50529.0
1128 S LA LUNA AVE,43560.0
1214 TICO RD # 12,31788.0
1291 LOMA DR,42694.0
1257 LOMA DR,60112.0
441 S PUEBLO AVE,11750.0
476 S RICE RD,65775.0
765 TICO RD,33541.0
751 TICO RD,37462.0
701 TICO RD,30274.0
703 TICO RD,51836.0
711 TICO RD,9060.0
713 TICO RD,6490.0
751 TICO RD,1140.0
1075 LOMA DR,236095.0
1370 TRUSTY LN,27000.0
1421 TRUSTY LN,27851.0
1418 TRUSTY LN,21160.0
1411 TRUSTY LN,36339.0
1400 PARK DR,63162.0
1450 S RICE RD # B,43570.0
187 BALDWIN RD,25206.0
MATILIJA ST,6000.0
1288 CADIZ DR,19521.0
3096 RESERVOIR DR,28956.0
2959 HAPPY LN,31014.0
999 TIERRA REJADA RD,868586.0
5000 BENNETT RD,733986.0
1044 GASTON RD,18966.0
5000 BENNETT RD,219542.0
15578 LAPEYRE RD,1146925.0
5313 MINE RD,1508918.0
3425 DITCH RD,96268.0
100 FLINTLOCK LN,107637.0
318 BELL CANYON RD,116305.0
15 HITCHING POST LN,25129.0
21 STALLION RD,114127.0
9406 VENTURA WAY,14875.0
9407 TRAILS END DR,17500.0
505 THOMPSON LN,87120.0
6 HOLSTER LN,48787.0
85 FLINTLOCK LN,21807.0
153 DENNIS WAY,1500.0
409 BOX CANYON RD,5097.0
331 BOX CANYON RD,3527.0
526 BOX CANYON RD,12750.0
6534 N AMERICAN CUT OFF RD,87120.0
153 DENNIS WAY,2250.0
153 DENNIS WAY,4500.0
6300 N AMERICAN CUT OFF RD,217775.0
MESA DR,9000.0
MESA DR,6750.0
MESA DR,2250.0
6300 N AMERICAN CUT OFF RD,43558.0
6440 N AMERICAN CUT OFF RD,588052.0
100 SHIRLEY DR,12000.0
19 APPALOOSA LN,53578.0
LILAC LN,9044.0
MESA DR,2250.0
MESA DR,2250.0
MESA DR,2250.0
MESA DR,3785.0
MESA DR,4500.0
2242 JOIE CT,11450.0
3958 COCHRAN ST # 62,872.0
1895 LAWSON AVE,6500.0
2257 BIGELOW AVE,6500.0
1556 CRATER ST,9288.0
1523 CRATER ST,9407.0
5197 CHAMISE CT # 1,1224.0
318 WILD CLOVER WAY UNIT D,1763.0
2033 CALLE LA SOMBRA # D,3049.0
2813 FITZGERALD RD,13200.0
2281 YOSEMITE AVE,6600.0
6466 HOPE ST,7192.0
2248 MADRONE ST,7300.0
5969 NELDA ST UNIT 2,3049.0
1912 HEYWOOD ST # 1,879.0
679 CARTPATH PL # 45,1228.0
3958 COCHRAN ST # 63,873.0
1143 TIVOLI LN UNIT 105,733.0
4162 VALLEY FAIR ST,7840.0
2358 ROYAL AVE # 10,1150.0
2420 CHANDLER AVE UNIT 1,740.0
2108 DEERCREEK AVE,4773.0
6207 CYNTHIA ST,8489.0
1176 WALTHAM CIR,7562.0
1463 OLYMPIC ST,9450.0
1382 ARCANE ST,7000.0
4541 ALAMO ST UNIT J,531.0
2181 SYCAMORE DR,6300.0
6495 HAZEL CIR,7318.0
5178 PINE ROSE CT # 14,65340.0
5178 MINERS CANDLE CT # 21,1551.0
5199 MESA MINT CT # 30,1551.0
4109 GUARDIAN ST # A-B,15271.0
4145 GUARDIAN ST # E,24639.0
4101 GUARDIAN ST # A,17106.0
4115 GUARDIAN ST # C,15017.0
4119 GUARDIAN ST # D,16531.0
4121 GUARDIAN ST # H,14457.0
4139 GUARDIAN ST # F,12817.0
1816 SUNTREE LN,1860.0
1579 E JEFFERSON WAY,535788.0
5178 CHAMISE CT # 6,65340.0
5179 PINE ROSE CT # 10,1752.0
5199 MINERS CANDLE CT # 16,65340.0
5199 PINE ROSE CT # 8,1752.0
610 KINGSWOOD LN # 15-89,1145.0
1457 E LOS ANGELES AVE,34080.0
1122 APPLETON RD,133729.0
1128 GOLDEN AMBER LN,3442.0
2628 GALINDO AVE,8800.0
380 COUNTRY CLUB DR UNIT A,1605.0
2935 CHIPPEWA AVE,8092.0
630 KINGSWOOD LN UNIT A,1145.0
2264 BIRCHGLEN ST # 142,1156.0
238 COUNTRY CLUB DR UNIT B,1376.0
630 KINGSWOOD LN # 13-80,1145.0
264 RIDGETON LN,1280.0
TAPO CANYON RD,213879.0
ADAM RD,19349.0
3755 LIGHTNING RIDGE WAY,53579.0
1555 SIMI TOWN CENTER WAY,558439.0
572 PURPLE SAGE LN,14712.0
566 PURPLE SAGE LN,10962.0
558 PURPLE SAGE LN,9496.0
552 PURPLE SAGE LN,11373.0
2753 N ROSE AVE,6583.0
2751 N ROSE AVE,6517.0
1400 E STROUBE ST,8160.0
1378 E STROUBE ST,33000.0
1336 E STROUBE ST,10328.0
1322 E STROUBE ST,23216.0
1276 E STROUBE ST,43560.0
1238 E STROUBE ST,12780.0
976 KENNY ST,26640.0
1194 KENNY ST,12780.0
1330 E STROUBE ST,10016.0
934 ORANGE DR,13300.0
853 ORANGE DR,13110.0
1013 ORANGE DR,13300.0
1127 E STROUBE ST,21780.0
792 ORANGE DR,13110.0
793 ORANGE DR,13110.0
2848 BALBOA ST,8291.0
674 WALNUT DR,13110.0
733 ORANGE DR,13110.0
454 ORANGE DR,13110.0
253 ORANGE DR,13300.0
2918 ALVARADO ST,17227.0
634 WALNUT DR,13110.0
633 ORANGE DR,13110.0
2938 ALVARADO ST,8712.0
766 E STROUBE ST,20733.0
2970 CORTEZ ST,12801.0
2780 CORTEZ ST,8197.0
317 ORANGE DR,13110.0
444 ORANGE DR,13110.0
272 ORANGE DR,13300.0
643 E STROUBE ST,41364.0
267 E STROUBE ST,21000.0
1180 E COLLINS ST,21780.0
451 E STROUBE ST,21600.0
987 ORANGE DR,13300.0
1063 ORANGE DR,13300.0
963 ORANGE DR,13300.0
1034 ORANGE DR,13300.0
974 ORANGE DR,13300.0
964 ORANGE DR,13300.0
1064 ORANGE DR,13300.0
1087 ORANGE DR,13300.0
2758 BALBOA ST,17954.0
1138 E STROUBE ST,24000.0
652 ORANGE DR,13110.0
673 ORANGE DR,13110.0
653 ORANGE DR,13110.0
630 ORANGE DR,13110.0
610 ORANGE DR,13110.0
611 ORANGE DR,13110.0
2962 BALBOA ST,11049.0
385 ORANGE DR,13110.0
410 ORANGE DR,13110.0
439 ORANGE DR,13110.0
424 ORANGE DR,13110.0
392 ORANGE DR,13110.0
375 ORANGE DR,13110.0
376 ORANGE DR,13110.0
455 ORANGE DR,13110.0
964 WALNUT DR,13300.0
1014 WALNUT DR,13300.0
1034 WALNUT DR,13300.0
914 WALNUT DR,13107.0
1064 WALNUT DR,13300.0
1114 ORANGE DR,13300.0
1134 ORANGE DR,13300.0
1165 ORANGE DR,26600.0
1086 ORANGE DR,13300.0
1164 ORANGE DR,13300.0
1187 ORANGE DR,13300.0
812 ORANGE DR,13110.0
833 ORANGE DR,13110.0
405 EL PASEO RD,11229.0
402 W OJAI AVE,25686.0
407 TICO RD,42688.0
102 W SUMMER ST,44431.0
213 GRAND AVE,7085.0
305 W ALISO ST,9000.0
1305 DALY RD,43560.0
306 W SUMMER ST,6102.0
314 RAYMOND ST,13193.0
211 E SUMMER ST,22500.0
508 LION ST,7500.0
505 N MONTGOMERY ST,22433.0
401 GRAND AVE,9713.0
408 CANADA ST,9936.0
109 N BLANCHE ST,11250.0
236 W OJAI AVE,26250.0
306 LION ST # F,1350.0
306 E ALISO ST APT F,1225.0
802 DALY RD,24265.0
808 DROWN AVE,34925.0
509 N BLANCHE ST,5110.0
108 E MATILIJA ST,9000.0
309 E ALISO ST,12353.0
203 N FULTON ST,7500.0
1409 MEADOWBROOK RD,8300.0
209 E MATILIJA ST,15048.0
207 N MONTGOMERY ST,8739.0
406 LION ST,8325.0
310 E MATILIJA ST,9813.0
1202 GREGORY ST,3920.0
601 E OAK ST,10047.0
6672 SANTA SUSANA PASS RD,24350.0
1313 TIERRA REJADA RD,20579922.0
1320 HILLTOP RD,5634.0
6541 CLEAR SPRINGS RD,7414.0
5313 MINE RD,125452.0
319 CAPRI DR,16059.0
1074 KATHERINE RD,31971.0
6081 STEFFEN LN,11469.0
6091 STEFFEN LN,5829.0
6224 JUNIPERO ST,10500.0
2639 AVENIDA SIMI,12220.0
889 LAGUNA DR,50944.0
1073 BOX CANYON RD,1817323.0
2931 TOWNSHIP AVE,126324.0
3183 DITCH RD,68389.0
14339 WHITE SAGE RD,88654.0
6632 SANTA SUSANA PASS RD,20090.0
9456 THOMPSON AVE,2450.0
595 BRYANT DR,188614.0
7228 STUDIO RD,45300.0
133 LA GROSS WAY,4500.0
7169 LEOTA LN,7000.0
160 BOX CANYON RD,7401.0
23 COLT LN,56192.0
146 DAPPLEGRAY RD,341946.0
31 WRANGLER LN,43560.0
89 FLINTLOCK LN,31248.0
97 FLINTLOCK LN,89385.0
103 FLINTLOCK LN,185304.0
777 BOX CANYON RD,217800.0
168 MESA RD,21000.0
MESA DR,9000.0
7419 STUDIO RD,53415.0
,10890.0
TAPO CANYON RD,6890465.0
TAPO CANYON RD,3676834.0
BOX CANYON RD,28020.0
,13921776.0
SANTA SUSANA PASS RD,43560.0
LIVE OAK,16322.0
LIVE OAK TRL,12337.0
LIVE OAK,11250.0
LIVE OAK,11250.0
LIVE OAK,11250.0
LIVE OAK,5625.0
LIVE OAK,6238.0
LIVE OAK TRL,7500.0
LIVE OAK,11250.0
LIVE OAK,13125.0
AVENIDA COLONIA,10752.0
LOS ANGELES AVE,78670.0
11270 N VENTURA AVE,114476.0
810 COUNTRY DR,11494.0
1435 FRASER LN,202554.0
1206 FOOTHILL RD,24256.0
1206 FOOTHILL RD,4491.0
290 E EL ROBLAR DR,126759.0
14209 DE LA GARRIGUE RD,1519373.0
1757 BALDWIN RD,946994.0
1885 MARICOPA HWY,120225.0
164 E EL ROBLAR DR,65340.0
9342 OJAI SANTA PAULA RD,1050775.0
10990 CREEK RD,13306708.0
14102 OJAI RD,574556.0
418 SKYHIGH DR,4150.0
418 SKYHIGH DR,11760.0
10896 CREEK RD,2438315.0
10578 OJAI SANTA PAULA RD,242194.0
MCNELL RD,67953.0
12859 TREERANCH RD,52707.0
12083 TOPA LN # 12085,9269.0
,52758.0
CLAY BLVD,3142.0
FAIRVIEW RD,303.0
LOMITA RD,10990.0
RICE RD,58847.0
544 PURPLE SAGE LN,9250.0
538 PURPLE SAGE LN,8212.0
530 PURPLE SAGE LN,7856.0
524 PURPLE SAGE LN,7948.0
516 PURPLE SAGE LN,8744.0
510 PURPLE SAGE LN,9991.0
502 PURPLE SAGE LN,10453.0
3517 APPLE CT,6866.0
351 ALMOND LN,6119.0
443 SEQUOIA AVE,6727.0
1555 SIMI TOWN CENTER WAY # 300,1374.0
545 PURPLE SAGE LN,10884.0
559 PURPLE SAGE LN,9324.0
586 PURPLE SAGE LN,9830.0
580 PURPLE SAGE LN,9656.0
298 WHITE BARK LN,6511.0
288 WHITE BARK LN,6055.0
225 ULYSSES ST,348480.0
611 E LOS ANGELES AVE,7800.0
650 COCHRAN ST STE 7,0.0
2263 WARD AVE,61420.0
520 E EASY ST,42583.0
2081 1ST ST,49658.0
2081 1ST ST,30927.0
2081 1ST ST,128066.0
2045 EASY WAY,3895.0
2045 EASY WAY,22214.0
2175 AGATE CT,92216.0
2216 AGATE CT,34717.0
1087 PACIFIC AVE,12780.0
425 COCHRAN ST,104725.0
51 TIERRA REJADA RD,358024.0
409 STRATUS LN UNIT 1,868586.0
409 STRATUS LN UNIT 4,868586.0
409 STRATUS LN UNIT 5,868586.0
409 STRATUS LN UNIT 7,868586.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,1187.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,1187.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,1187.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,1343.0
1263 SIMI TOWN CENTER WAY,110642.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,1187.0
2731 ERRINGER RD,1187.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,1187.0
2731 ERRINGER RD,1187.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,1343.0
3894 WALNUT AVE,13676.0
1555 SIMI TOWN CENTER WAY,399009.0
3605 ALAMO ST,18192.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,936.0
3316 SHERI DR,9391.0
2655 1ST ST,176739.0
1378 PATRICIA AVE,26930.0
2507 CHANDLER AVE,946.0
4502 LUBBOCK DR,3484.0
1175 FITZGERALD RD,960.0
292 NORFLEET LN,1280.0
1225 FITZGERALD RD,1222.0
567 BANNISTER WAY,1833.0
2760 TAPO CANYON RD,55321.0
2045 ROYAL AVE,72309.0
2632 PRATHER ST,10405.0
1720 VOYAGER AVE,40075.0
2311 TAPO ST,50094.0
1777 E LOS ANGELES AVE,22000.0
1851 BUYERS ST,131669.0
1445 E LOS ANGELES AVE,93654.0
2633 PRATHER ST,8971.0
1592 PRATHER ST,12831.0
2680 PHIPPS AVE,9277.0
1235 FITZGERALD RD,1222.0
425 HUYLER LN,1520.0
29 W EASY ST,28892.0
290 RIDGETON LN,1280.0
2221 N MADERA RD,50953.0
4453 APRICOT RD,25241.0
1135 FITZGERALD RD,926.0
4490 LUBBOCK DR,3484.0
455 KENNERICK LN,1520.0
2312 ARCHWOOD LN,872.0
1549 PRATHER ST,10456.0
488 SHELBURNE LN,1280.0
21 W EASY ST,227668.0
4100 GUARDIAN ST,360677.0
1317 E LOS ANGELES AVE,625635.0
426 KENNERICK LN,1280.0
1745 PATRICIA AVE,48351.0
4484 LUBBOCK DR,3484.0
4514 LUBBOCK DR,3484.0
4558 APRICOT RD,23490.0
1070 COUNTRY CLUB DR,98446.0
2145 MANDAN PL,1087.0
1235 FITZGERALD RD,1222.0
,2000081.0
4442 LUBBOCK DR,3484.0
1195 FITZGERALD RD,1222.0
271 AUGUSTINE WAY,1520.0
1189 SWALLOW LN,0.0
153 COCHRAN ST,36628.0
3910 ROYAL AVE,61855.0
74 W COCHRAN ST,17804.0
4535 BARNARD ST,40236.0
1197 E LOS ANGELES AVE,62718.0
1301 E LOS ANGELES AVE,44006.0
1951 SEQUOIA AVE,23522.0
1550 RORY LN,16117.0
1550 RORY LN,62290.0
5932 E LOS ANGELES AVE,171190.0
,1816153.0
1550 RORY LN,36810.0
1610 YOSEMITE AVE,163350.0
1550 RORY LN,506602.0
1550 RORY LN,131986.0
1550 RORY LN,696090.0
1550 RORY LN,79715.0
4615 INDUSTRIAL ST,274123.0
4505 INDUSTRIAL ST,111078.0
4545 INDUSTRIAL ST,109728.0
5105 E LOS ANGELES AVE,209191.0
N SITUS,0.0
2125 N MADERA RD,150717.0
2720 COCHRAN ST,33822.0
67 W EASY ST,142876.0
40 W EASY ST,28314.0
N SITUS,0.0
40 W COCHRAN ST,105920.0
2665 PARK CENTER DR,97541.0
2655 PARK CENTER DR,133545.0
N SITUS,0.0
2635 PARK CENTER DR,105278.0
N SITUS,0.0
2685 PARK CENTER DR,95408.0
2650 JONES WAY,85813.0
2925 SYCAMORE DR,85377.0
5315 COCHRAN ST,241286.0
N SITUS,0.0
4051 ADAM RD,40329.0
N SITUS,0.0
90 W EASY ST,59242.0
80 W EASY ST,48352.0
N SITUS,0.0
70 W EASY ST,48607.0
2478 SAINT CLAIR AVE,47044.0
N SITUS,0.0
5987 SERENA ST,26947.0
5968 SERENA ST,14239.0
2513 TAPO ST,37657.0
4381 COCHRAN ST,60382.0
2488 TAPO ST,23245.0
4438 APRICOT RD,12939.0
6135 KATHERINE RD,155073.0
2619 PRATHER ST,10730.0
2627 PRATHER ST,11323.0
2647 PRATHER ST,9120.0
2669 PRATHER ST,9405.0
2673 PRATHER ST,9535.0
2687 PHIPPS AVE,11419.0
2646 PRATHER ST,11751.0
2660 PRATHER ST,21264.0
2653 PHIPPS AVE,9581.0
2645 PHIPPS AVE,9774.0
2902 TAPO CANYON RD,50207.0
4476 APRICOT RD,23492.0
195 TIERRA REJADA RD,103237.0
2139 TAPO ST,87555.0
2355 TAPO ST,62290.0
2381 TAPO ST,28314.0
2321 TAPO ST,25149.0
131 COCHRAN ST,40075.0
2750 SYCAMORE DR,173445.0
1750 1ST ST,123710.0
4590 ISH DR,182277.0
1860 HIDDEN HOLLOW CT,65030.0
2090 1ST ST,44194.0
2050 1ST ST,51410.0
1900 E LOS ANGELES AVE,20300.0
4250 ADAM RD,80586.0
2409 CHANDLER AVE,740.0
1368 MADERA RD,40678.0
1252 MADERA RD,14913.0
1230 MADERA RD,71958.0
950 SUNSET GARDEN LN,175399.0
6502 KATHERINE RD,55103.0
403 COUNTRY CLUB DR,253955.0
2572 TAPO ST,12316.0
1716 ERRINGER RD,119354.0
195 TIERRA REJADA RD UNIT 61,103237.0
6480 KATHERINE RD,13650.0
21 W EASY ST,8720.0
195 TIERRA REJADA RD,1127332.0
2245 TAPO ST,45083.0
2245 TAPO ST,813.0
1856 E LOS ANGELES AVE,9998.0
2603 PHIPPS AVE,11189.0
1563 PRATHER ST,10305.0
,6790.0
EL TUACA CT,74488.0
,7496.0
OCEAN VIEW DR,15363.0
,7046.0
490 BROOME RD,23140814.0
,7167.0
,6596.0
,6718.0
,6467.0
,14978.0
CAMARILLO DR,21219.0
,7524.0
CHANNEL ISLANDS DR,310060.0
,6000.0
,6001.0
,6001.0
,6000.0
,6000.0
4207 FLORENCE ST,7040.0
2092 ATWATER AVE,6500.0
2543 LEE ST,6500.0
4 E BONITA DR,8200.0
2021 REBECCA ST,8000.0
2571 PARKDALE AVE,14000.0
600 KINGSWOOD LN # 18-113,1579.0
326 HORNBLEND CT,8285.0
4557 ALAMO ST UNIT E,531.0
1424 MORENO DR,3788.0
4202 ANGELA ST,8058.0
1191 TIVOLI LN UNIT 63,733.0
272 FIELDSTONE WAY # 17-62,1520.0
292 NORFLEET LN UNIT C,1520.0
2776 TEXAS AVE,4956.0
610 KINGSWOOD LN # 15-94,1145.0
2291 SYCAMORE DR,6300.0
2359 ARCHWOOD LN UNIT 158,672.0
1808 GARVIN AVE,6500.0
2934 KODIAK CIR,10558.0
3168 DARBY ST UNIT 208,1491.0
2506 CHANDLER AVE # 95,1164.0
1904 HEYWOOD ST APT A,880.0
1190 TIVOLI LN # 205,733.0
1806 TIMBERHILL CT,8289.0
3428 ASPEN ST,10519.0
351 TALBERT AVE,8073.0
249 TALBERT AVE,11066.0
318 TALBERT AVE,8916.0
52 REDWOOD GROVE CT,6012.0
ERRINGER RD BIG SKY PL,23649.0
153 SEQUOIA AVE,12068.0
98 SEQUOIA AVE,7034.0
173 WHITE BARK LN,5800.0
2487 ASCENDING OAKS LN UNIT 1,369388.0
2487 ASCENDING OAKS LN UNIT 2,369388.0
2487 ASCENDING OAKS LN UNIT 3,369388.0
1724 SINALOA RD APT 122,1074.0
1724 SINALOA RD APT 123,770.0
1724 SINALOA RD APT 224,1092.0
1724 SINALOA RD APT 126,770.0
1724 SINALOA RD APT 228,1074.0
1724 SINALOA RD APT 226,770.0
1724 SINALOA RD APT 127,1074.0
1724 SINALOA RD APT 221,1074.0
1724 SINALOA RD APT 225,1092.0
1724 SINALOA RD APT 128,1074.0
1222 E LOS ANGELES AVE,12375.0
3308 WHISPERING GLEN CT,605665.0
3965 HERITAGE OAK CT,76677.0
2296 SWIFT FOX CT,58328.0
5028 COCHRAN ST,175111.0
3802 AVENIDA SIMI,38570.0
2237 ECROYD AVE,6600.0
1933 STOW ST,6456.0
1921 STOW ST,7230.0
1907 STOW ST,7232.0
1899 STOW ST,7230.0
1895 STOW ST,6456.0
643 COUNTRY CLUB DR,259695.0
4252 VALLEY FAIR ST,897.0
4268 E LOS ANGELES AVE,6250.0
4456 E LOS ANGELES AVE,4900.0
277 HERMES ST,6500.0
170 W COCHRAN ST,90311.0
82 W COCHRAN ST,22738.0
540 E LOS ANGELES AVE,21000.0
759 VENTURA AVE,7100.0
1471 PAUL ST,7420.0
2283 1ST ST,77972.0
2250 UNION PL,45738.0
131 W EASY ST,237402.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,936.0
3713 ALAMO ST,26081.0
2731 ERRINGER RD,1187.0
3695 ALAMO ST,12878.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,1187.0
2731 ERRINGER RD,724.0
2731 ERRINGER RD,936.0
2731 ERRINGER RD,1343.0
2731 ERRINGER RD,1187.0
3916 WALNUT AVE,11169.0
3932 WALNUT AVE,11134.0
3935 MELLISA CT,9902.0
3919 MELLISA CT,11390.0
3905 MELLISA CT,13520.0
3902 MELLISA CT,14052.0
3916 MELLISA CT,11486.0
3932 MELLISA CT,9701.0
3337 SHERI DR,10978.0
3331 SHERI DR,9982.0
3325 SHERI DR,14651.0
3319 SHERI DR,12912.0
3313 SHERI DR,12353.0
3307 SHERI DR,10945.0
3301 SHERI DR,9911.0
3964 WALNUT AVE,8872.0
3388 SHERI DR,8878.0
3376 SHERI DR,9429.0
3364 SHERI DR,8935.0
3358 SHERI DR,10494.0
3346 SHERI DR,10954.0
3334 SHERI DR,8940.0
3328 SHERI DR,9429.0
490 MONTE VIA,18761.0
435 MONTE VIA,6148.0
455 MONTE VIA,6050.0
475 MONTE VIA,46241.0
495 MONTE VIA,43001.0
395 MONTE VIA,6054.0
390 MONTE VIA,7998.0
170 MONTE VIA,6008.0
35 APRICOT ST,6250.0
85 RIO VIA,9092.0
71 REPOSO DR,38747.0
300 N BARBARA ST,14150.0
365 MONTE VIA,6051.0
275 MONTE VIA,6027.0
75 MONTE VIA,8563.0
11023 CREEK RD,103672.0
375 MONTE VIA,6442.0
11085 CREEK RD,449539.0
230 MONTE VIA,6000.0
90 RIO VIA,6026.0
35 RIO VIA,10503.0
425 W SANTA ANA ST,5783.0
465 W SANTA ANA ST,5783.0
,14428.0
,24024.0
,1381723.0
255 BURNHAM RD # 30,103237.0
255 BURNHAM RD # 29,103237.0
255 BURNHAM RD # 28,103237.0
255 BURNHAM RD # 27,103237.0
255 BURNHAM RD # 26,103237.0
255 BURNHAM RD # 25,103237.0
255 BURNHAM RD,103237.0
255 BURNHAM RD,103237.0
255 BURNHAM RD # 5,103237.0
255 BURNHAM RD # 4,103237.0
255 BURNHAM RD # 3,103237.0
255 BURNHAM RD # 2,103237.0
255 BURNHAM RD # 1,103237.0
255 BURNHAM RD SPC B04,103237.0
975 SPRING ST,8702.0
562 KATHERINE AVE,7402.0
10539 ALMOND AVE,7839.0
811 EL CAMINO RD,37400.0
707 CUYAMA RD,34000.0
1016 W OJAI AVE,7325.0
1124 N SIGNAL ST,43108.0
601 FOOTHILL RD,35360.0
210 GRAND AVE,13944.0
1211 MARICOPA HWY,100929.0
312 W MATILIJA ST,15000.0
111 CANADA ST,7500.0
812 EL CAMINO RD,45028.0
311 W SUMMER ST UNIT B,1772.0
MARICOPA HWY,6098.0
MONTGOMERY AVE,246985.0
205 E OAK ST # 207,7500.0
OJAI AVE,2449.0
130 W OJAI AVE,10500.0
19 HITCHING POST LN,45302.0
42 DAPPLEGRAY RD,72309.0
15 HOLSTER LN,43560.0
17 HOLSTER LN,93218.0
379 NOTRE DAME AVE,20000.0
46 DAPPLEGRAY RD,81021.0
153 DENNIS WAY,6750.0
122 DAPPLEGRAY RD,60548.0
310 BELL CANYON RD,108464.0
150 DAPPLEGRAY RD,171190.0
93 FLINTLOCK LN,71613.0
154 DAPPLEGRAY RD,151153.0
53 STAGECOACH RD,58370.0
2 STIRRUP LN,43560.0
10 HITCHING POST LN,24662.0
CHANNEL ISLANDS DR,4262.0
,9340.0
,258000.0
,6000.0
,10000.0
,6000.0
,10000.0
,6000.0
,6000.0
,21909.0
,6314.0
,6995.0
,10000.0
,6130.0
,10000.0
,8550.0
,63637.0
,6000.0
,6600.0
,10000.0
,10000.0
,7359.0
,10000.0
,5177.0
3406 S RICE AVE,11025.0
,5177.0
,5227.0
,6422.0
,6855.0
,8682.0
,7783.0
,6002.0
,4913.0
,5332.0
,5332.0
,4750.0
,5265.0
,7117.0
,10168.0
,5116.0
,4751.0
,4751.0
,4751.0
,5238.0
,94075.0
,40240.0
,48984.0
,49015.0
,681335.0
,10284.0
,88693.0
,14149.0
,92284.0
,0.0
E OF SYCAMORE RD,0.0
FIRST ST,0.0
HOLLOW HILLS SCHOOL,0.0
N SITUS,0.0
SANTA CLARA ST,4745.0
,0.0
,0.0
LOMITA AVE,219671.0
VENTURA BLVD,121532.0
,9329.0
,7812.0
,7817.0
,7817.0
LAS POSAS RD,1011.0
VENTURA BLVD,60.0
,7817.0
,8103.0
3639 LAS POSAS RD STE 119,868586.0
,8321.0
3639 LAS POSAS RD STE 124,868586.0
,9714.0
,91230.0
3661 LAS POSAS RD STE 167,868586.0
,108337.0
